modern_id,legacy_resource_field,legacy_model,legacy_texture,legacy_renderer,modern_status,required_legacy_parts_effects_animation
nuke_gadget,bomb_gadget,models/bombs/gadget.obj,textures/models/bombs/gadget.png,RenderNukeGadget,body_static_corrected_wires_deferred,"Body always rendered; Wires only when fancyGraphics"
nuke_boy,bomb_boy,models/LilBoy1.obj,textures/models/lilboy.png,RenderNukeBoy,resource_aligned_visual_calibration_needed,"block orientation includes offset; item display has custom legacy transform"
nuke_man,bomb_man,models/bombs/fat_man.obj,textures/models/FatMan.png,RenderNukeMan,resource_aligned_visual_calibration_needed,"renderAll with custom block and item transforms"
nuke_mike,bomb_mike,models/bombs/ivymike.obj,textures/models/bombs/ivymike.png,RenderNukeMike,resource_aligned_visual_calibration_needed,"renderAll with custom block and item transforms"
nuke_tsar,bomb_tsar,models/bombs/tsar.obj,textures/models/bombs/tsar.png,RenderNukeTsar,resource_aligned_visual_calibration_needed,"renderAll with custom block and item transforms"
nuke_prototype,bomb_prototype,models/bombs/Prototype.obj,textures/models/bombs/Prototype.png,RenderNukePrototype,resource_aligned_visual_calibration_needed,"renderAll with smooth shading and custom item transform"
nuke_fleija,bomb_fleija,models/bombs/fleija.obj,textures/models/bombs/fleija.png,RenderNukeFleija,resource_aligned_visual_calibration_needed,"renderAll with custom block and item transforms"
nuke_solinium,bomb_solinium,models/bombs/ufp.obj,textures/models/bombs/ufp.png,RenderNukeSolinium,resource_aligned_visual_calibration_needed,"renderAll with custom block and item transforms"
nuke_n2,n2,models/bombs/n2.obj,textures/models/bombs/n2.png,RenderNukeN2,resource_aligned_visual_calibration_needed,"legacy ResourceManager field is n2; renderAll with cull/shading differences"
nuke_fstbmb,fstbmb,models/bombs/fstbmb.obj,textures/models/bombs/fstbmb.png,RenderNukeFstbmb,resource_aligned_effect_missing,"Body and Balefire parts plus RenderMiscEffects.renderClassicGlint on Balefire"
bomb_multi,bomb_multi,models/BombGeneric.obj,textures/models/BombGeneric.png,ItemRenderLibrary,resource_aligned_visual_calibration_needed,"legacy item renderer renderAll; block behavior is BombMulti entity workflow"
radar_screen,radar_screen,models/machines/radar_screen.obj,textures/models/machines/radar_screen.png,RenderRadarScreen,resource_aligned_renderer_missing,"base model plus GUI radar texture overlay and dynamic beam"
solar_mirror,solar_mirror,models/machines/solar_mirror.obj,textures/models/machines/solar_mirror.png,ItemRenderLibrary/RenderMirror,resource_aligned_renderer_review,"Base and Mirror parts; block renderer tracks target angle"
drain,drain,models/machines/drain.obj,textures/models/machines/drain.png,ItemRenderLibrary,staged_resource,"renderer path still needs block behavior owner before wiring"
intake,intake,models/machines/intake.obj,textures/models/machines/intake.png,RenderIntake,resource_aligned_renderer_missing,"legacy renderer uses intake renderAll with machine orientation"
combination_oven,combination_oven,models/machines/combination_oven.obj,textures/models/machines/combination_oven.png,ItemRenderLibrary,staged_resource,"renderer path still needs block behavior owner before wiring"
rtg,rtg,models/machines/rtg.obj,textures/models/machines/rtg.png,RenderRTG,resource_aligned_renderer_missing,"Gen plus rotated Connector parts; texture varies by RTG block type"
telex,telex,models/machines/telex.obj,textures/models/machines/telex.png,RenderTelex,static_renderer_candidate,"renderAll with orientation; good first static BER candidate"
fraction_tower,fraction_tower,models/machines/fraction_tower.obj,textures/models/machines/fraction_tower.png,ItemRenderLibrary,static_renderer_candidate,"item renderAll; block migration owner still pending"
fan,fan,models/machines/fan.obj,textures/models/machines/fan.png,RenderFan,resource_aligned_renderer_missing,"Frame static; Blades rotate from TileEntityFan spin"
furnace_iron,furnace_iron,models/machines/furnace_iron.obj,textures/models/machines/furnace_iron.png,RenderFurnaceIron,resource_aligned_renderer_missing,"Main plus On fullbright or Off part from wasOn"
elevator,cargo_elevator,models/machines/elevator.obj,textures/models/machines/elevator.png,RenderCargoElevator,resource_aligned_renderer_missing,"Base Platform Piston Guides; extension height and renderPlatform state"
crucible,crucible_heat,models/machines/crucible.obj,textures/models/machines/crucible_heat.png,RenderCrucible,resource_aligned_renderer_missing,"base model plus lava/material surface based on recipe/waste stacks"
drum,waste_drum,models/machines/drum.obj,textures/models/machines/drum_gray.png,RenderStorageDrum,static_resource_aligned,"renderAll with waste_drum_tex"
fraction_spacer,fraction_spacer,models/machines/fraction_spacer.obj,textures/models/machines/fraction_spacer.png,RenderSpacer,static_renderer_candidate,"renderAll static block entity renderer"
heating_oven,heater_oven,models/machines/heating_oven.obj,textures/models/machines/heating_oven.png,ResourceManager/ItemRenderLibrary,staged_resource,"verify exact old renderer before block wiring"
chimney_brick,chimney_brick,models/machines/chimney_brick.obj,textures/models/machines/chimney_brick.png,ResourceManager/ItemRenderLibrary,staged_resource,"verify exact old renderer before block wiring"
turbine,turbine,models/machines/turbine.obj,textures/models/machines/turbine.png,ItemRenderLibrary,resource_aligned_renderer_review,"Body plus Blades use universal_bright texture in item renderer"
dieselgen,dieselgen,models/machines/dieselgen.obj,textures/models/machines/dieselgen.png,RenderDieselGen,resource_aligned_renderer_missing,"Generator static; Engine swings while active"
